english,telugu
It's time to get up.,ఇది లేవడానికి సమయం.
a famous speech,ఒక ప్రసిద్ధ ప్రసంగం
Stop protecting me.,నన్ను రక్షించడం ఆపు.
I think you should leave well enough alone.,మీరు ఒంటరిగా తగినంతగా వదిలివేయాలని నేను అనుకుంటున్నాను.
Take this chair. It's sturdy.,ఈ కుర్చీ తీసుకోండి.
I was unable to control myself any longer.,నేను ఇకపై నన్ను నియంత్రించలేకపోయాను.
Tom is going to miss you.,టామ్ మిమ్మల్ని కోల్పోతాడు.
I don't know how much money Tom and Mary spend.,టామ్ మరియు మేరీ ఎంత డబ్బు ఖర్చు చేస్తారో నాకు తెలియదు.
Tom and I are going to the mall.,టామ్ మరియు నేను మాల్‌కు వెళ్తున్నాము.
Take over.,స్వాధీనం చేసుకోండి.
I wonder if Tom would really do something like that.,టామ్ నిజంగా అలాంటిదే చేస్తాడా అని నేను ఆశ్చర్యపోతున్నాను.
Directions,దిశలు
Tom didn't say how he planned to get there.,టామ్ అతను అక్కడికి ఎలా వెళ్ళాలో ప్లాన్ చేయలేదు.
I don't know why I even bother anymore.,నేను ఇక ఎందుకు బాధపడుతున్నానో నాకు తెలియదు.
Tom continued laughing.,టామ్ నవ్వుతూనే ఉన్నాడు.
I understand your problem.,మీ సమస్య నాకు అర్థమైంది.
Almost no one thinks that we are sisters.,మేము సోదరీమణులు అని దాదాపు ఎవరూ అనుకోరు.
Tom's paralyzed.,టామ్ స్తంభించిపోయాడు.
I think I need braces.,నాకు కలుపులు అవసరమని అనుకుంటున్నాను.
How much money do we need?,మనకు ఎంత డబ్బు అవసరం?
I want to make some changes.,నేను కొన్ని మార్పులు చేయాలనుకుంటున్నాను.
I thought that Tom was guilty.,టామ్ దోషి అని నేను అనుకున్నాను.
Tom didn't know Mary wanted him to help her.,మేరీ తనకు సహాయం చేయాలని టామ్కు తెలియదు.
I wonder which way is the shortest.,ఏ మార్గం చిన్నది అని నేను ఆశ్చర్యపోతున్నాను.
What would you like to buy your mother for her birthday?,మీ తల్లి పుట్టినరోజు కోసం మీరు ఏమి కొనాలనుకుంటున్నారు?
You can't know that.,అది మీకు తెలియదు.
Where are you from..?,నువ్వు ఎక్కడ నుంచి వచ్చావు..?
I knew that it was time to leave.,ఇది బయలుదేరే సమయం అని నాకు తెలుసు.
Let's do what Tom wants us to do.,టామ్ మనం ఏమి చేయాలనుకుంటున్నాడో అది చేద్దాం.
I have things on my mind.,నా మనస్సులో విషయాలు ఉన్నాయి.
The policeman put handcuffs on Tom.,పోలీసు టామ్‌పై హస్తకళలు పెట్టాడు.
Let's talk about your work.,మీ పని గురించి మాట్లాడుకుందాం.
I've got a little problem.,నాకు కొద్దిగా సమస్య వచ్చింది.
Tom put the kids to bed.,టామ్ పిల్లలను మంచానికి పెట్టాడు.
Tom swam with the dolphins.,టామ్ డాల్ఫిన్లతో ఈదుకున్నాడు.
I didn't think Tom was going to be here.,టామ్ ఇక్కడ ఉంటాడని నేను అనుకోలేదు.
Tom isn't used to city life.,టామ్ నగర జీవితానికి అలవాటుపడలేదు.
I've been to the supermarket.,నేను సూపర్ మార్కెట్‌కు వెళ్లాను.
It may rain tomorrow.,రేపు వర్షం పడవచ్చు.
Put out your cigarettes.,మీ సిగరెట్లు బయట పెట్టండి.
Is that enough?,అది సరిపోతుందా?
Tom is still an amateur.,టామ్ ఇప్పటికీ te త్సాహిక వ్యక్తి.
I want you to have a copy of this.,దీని కాపీని మీరు కలిగి ఉండాలని నేను కోరుకుంటున్నాను.
The lighting blinded me for a while.,లైటింగ్ కాసేపు నన్ను కళ్ళుమూసుకుంది.
He predicted she would win.,ఆమె గెలుస్తుందని అతను icted హించాడు.
The damage was covered by insurance.,నష్టం భీమా పరిధిలోకి వచ్చింది.
We started to walk.,మేము నడవడం ప్రారంభించాము.
I won't let anybody hurt you.,మిమ్మల్ని ఎవరూ బాధపెట్టనివ్వను.
She wrote the book about people she visited.,ఆమె సందర్శించిన వ్యక్తుల గురించి ఆమె పుస్తకం రాసింది.
Tom refused to answer our questions.,టామ్ మా ప్రశ్నలకు సమాధానం ఇవ్వడానికి నిరాకరించాడు.
Sold,విక్రయించబడింది
"Tom, do you have a moment?","టామ్, మీకు ఒక్క క్షణం ఉందా?"
I thought it was a mistake.,ఇది పొరపాటు అని నేను అనుకున్నాను.
You're not like everyone else.,మీరు అందరిలాగా లేరు.
We had a chance.,మాకు అవకాశం వచ్చింది.
Remember what we spoke about yesterday.,మేము నిన్న మాట్లాడినదాన్ని గుర్తుంచుకోండి.
Tom thought that Mary was John's sister.,టామ్ మేరీ జాన్ సోదరి అని అనుకున్నాడు.
I can't let you go alone.,నేను మిమ్మల్ని ఒంటరిగా వెళ్ళనివ్వలేను.
The group was made up of four young men.,ఈ బృందంలో నలుగురు యువకులు ఉన్నారు.
Tom told me that he was at school.,టామ్ అతను స్కూల్లో ఉన్నానని చెప్పాడు.
I swim in the sea every day.,నేను ప్రతి రోజు సముద్రంలో ఈత కొడతాను.
My parents won't let me date.,నా తల్లిదండ్రులు నన్ను డేటింగ్ చేయనివ్వరు.
"Telugu, english, tamil, french","తెలుగు, ఇంగ్లీష్, తమిళం, ఫ్రెంచ్"
Tom says he's won.,టామ్ తాను గెలిచానని చెప్పాడు.
I don't have a Twitter account.,నాకు ట్విట్టర్ ఖాతా లేదు.
Tom didn't need to wait.,టామ్ వేచి ఉండాల్సిన అవసరం లేదు.
Proud to be an Indian.,భారతీయుడిగా గర్విస్తున్నాను.
This street used to have another name.,ఈ వీధికి మరొక పేరు ఉండేది.
Please stay inside.,దయచేసి లోపల ఉండండి.
Tom can't decide which approach to take.,ఏ విధానాన్ని తీసుకోవాలో టామ్ నిర్ణయించలేడు.
Tom's daughter is now thirteen.,టామ్ కుమార్తెకు ఇప్పుడు పదమూడు సంవత్సరాలు.
They keep calling.,వారు కాల్ చేస్తూనే ఉంటారు.
The poor girl went blind.,పేద అమ్మాయి అంధురాలైంది.
What did you cook for dinner?,విందు కోసం మీరు ఏమి వండుకున్నారు?
"Mary's not pretty, but she isn't ugly, either.","మేరీ అందంగా లేదు, కానీ ఆమె అగ్లీ కాదు."
The house requires repairs.,ఇంటికి మరమ్మతులు అవసరం.
I know Tom is talkative.,టామ్ మాట్లాడేవాడు అని నాకు తెలుసు.
I love making desserts.,నాకు డెజర్ట్‌లు తయారు చేయడం చాలా ఇష్టం.
We've been looking for you everywhere.,మేము ప్రతిచోటా మీ కోసం వెతుకుతున్నాము.
What were we thinking?,మేము ఏమి ఆలోచిస్తున్నాము?
I'm not sure if I'm going to be able to be there on time.,నేను సమయానికి అక్కడ ఉండగలనా అని నాకు తెలియదు.
Tom got in his car and left.,టామ్ తన కారులో దిగి వెళ్ళిపోయాడు.
Don't you feel cold?,మీకు చలి అనిపించలేదా?
